convexHull,Elipse,Rec,Circle,Area,Classe
1030,4260.49817307369,5326.5,4952.28843383442,4237.5,tput
665,4182.915026719318,5226.0,5286.896453291526,4159.0,tput
1017,4671.5656139672055,6020.0,6035.812116826807,4648.0,tput
615,4767.490646320031,5893.5,6582.450020236837,4710.0,tput
527,4711.351369079808,5950.0,5850.900134661582,4695.0,tput
724,3832.7670486586853,4851.0,4857.550583900095,3817.5,tput
610,3719.875183587985,4770.0,4911.119303049845,3690.5,tput
958,4393.594946305447,5525.0,6001.431312137113,4364.0,tput
637,4421.168825196867,5494.0,5744.9402416732855,4389.5,tput
1039,4081.9257076428285,5265.0,6449.09359615886,4055.0,tput
780,4069.290427450543,5040.0,5281.042801082845,4044.5,tput
861,4405.036648459228,5469.0,6145.970687272403,4369.0,tput
894,3960.992793601157,4730.0,5958.359578798877,3902.0,tput
724,3934.784522444071,4914.0,4923.223707459218,3922.0,tput
1137,4219.21403889739,5419.0,6309.291652613937,4190.0,tput
528,4097.629848870752,5166.0,5490.698232052693,4076.5,tput
1086,4121.633850283222,5254.0,5234.863524951205,4105.0,tput
780,3428.331255932254,4425.0,4961.385429162389,3411.0,tput
685,4626.927179185931,6030.0,6183.521585289346,4594.5,tput
648,3572.7759627661494,4774.0,5495.456879993458,3564.0,tput
472,4308.633859817111,5469.0,6298.0816846392145,4293.0,tput
1220,4021.1378466232545,5248.0,5609.818903639192,3999.0,tput
689,4137.205306804661,5248.0,5595.203074095226,4119.5,tput
565,3647.0766755655995,4620.0,4713.198057662006,3618.0,tput
613,4761.709319356741,5940.0,7777.950461558809,4685.0,tput
624,4617.156212392436,5938.0,6170.021018424226,4586.5,tput
858,4107.169272504733,5205.0,5053.509500387505,4091.0,tput
1143,4522.504402634533,5766.0,6248.911942583763,4478.0,tput
971,4162.414071342935,5390.0,5156.853779952363,4131.0,tput
639,3488.7890757973173,4488.0,4393.948150149919,3473.0,tput
834,3363.062798312887,4216.0,4351.128896619497,3341.0,tput
1492,3322.8720800295887,4270.0,4049.53507174315,3286.0,tput
762,3586.581107049753,4657.0,4351.886239542464,3573.5,tput
746,3848.565838810624,4810.0,4584.6464075832255,3839.5,tput
1131,3226.117862713241,4194.0,4275.730959264446,3199.0,tput
559,4129.9077671275845,5360.0,5309.316716206909,4117.5,tput
546,3677.0197407463843,4550.0,4429.854921254993,3648.0,tput
568,4319.227040358515,5419.0,5573.150523304437,4291.5,tput
724,3958.498856416651,4960.0,5169.108380583496,3944.5,tput
713,3499.268781581848,4453.0,4477.221945509109,3473.5,tput
564,3617.518829927806,4595.0,4769.288256397798,3594.5,tput
654,3556.6414168105534,4662.0,4715.09305893749,3535.5,tput
538,3394.7611458872916,4130.0,4130.979494187878,3362.0,tput
681,3971.7888162060094,5006.0,5355.316813207132,3943.5,tput
624,3520.6195575340407,4500.0,4648.223852574135,3494.5,tput
559,3659.205714596714,4650.0,4571.82655156808,3639.5,tput
1052,4010.396313683818,5105.0,5852.590419001143,3951.0,tput
683,3649.8813538717086,4536.0,5266.120114572184,3612.0,tput
602,3803.5669926807245,4662.0,5366.651690836729,3756.0,tput
486,3887.5336024737767,4819.0,5533.656599315041,3866.0,tput
801,4466.504759729909,5440.0,6126.9189870775335,4440.0,tput
587,4155.846373997784,5258.0,6085.292898602151,4099.5,tput
724,3598.257988869379,4484.5,5006.646367733926,3575.5,tput
1301,3774.21080420747,4886.0,5542.58085059427,3746.0,tput
801,3222.78328774354,4130.0,4399.824095699277,3194.5,tput
512,4518.777785926126,5376.0,6091.235469720285,4483.5,tput
723,2946.168683010308,3640.0,3563.49893194899,2934.5,tput
850,2894.3255171413957,3643.0,3464.6825997017586,2868.0,tput
801,3468.3870987951864,4160.0,5168.880879270262,3418.5,tput
857,3257.1785795399487,4050.0,4418.673641321871,3216.5,tput
512,3554.1512025176244,4570.0,5822.869233368589,3533.0,tput
905,3329.3449083583096,4332.0,4577.134032502924,3317.0,tput
718,3415.5021495717933,4341.0,4765.820450915906,3379.5,tput
