convexHull,Elipse,Rec,Circle,Area,Classe
1655,6996.191052623896,8400.0,9926.057652696636,6937.5,bons
676,6891.822231689338,8580.0,9849.712635063914,6850.5,bons
1054,5742.065106321638,7132.5,7308.898281720674,5711.0,bons
710,6845.33861647152,8742.0,8323.420022547807,6824.5,bons
1332,6003.313761141081,7030.0,7902.961787659582,5930.5,bons
1684,8819.962582340373,10788.0,11145.912353181295,8746.5,bons
648,6841.976074948649,8118.0,8366.64007637779,6763.0,bons
1031,7226.197871600572,8991.0,9995.418450739553,7179.5,bons
1863,7467.2266440774865,8970.0,10734.37569953724,7440.0,bons
1448,6047.163602218491,7440.0,8427.355049044127,5951.5,bons
618,6684.975762785382,7920.0,8627.591013989213,6621.0,bons
1717,6035.088648774155,7420.0,9564.612781335007,5953.5,bons
1985,5594.240550388672,6916.0,7265.239263574525,5550.5,bons
1109,6110.414812955794,7347.0,7551.395372729647,6069.5,bons
523,6269.351960057816,7854.0,8312.722191869774,6228.5,bons
1267,6709.2257051442475,8343.0,8937.864850359336,6617.0,bons
1367,5614.491039559835,6512.0,7162.178410734247,5463.5,bons
1086,5377.752432888084,6885.0,8205.872344998299,5342.0,bons
884,5415.409874146729,6840.0,6852.627897602698,5373.0,bons
944,4895.671688664414,6188.0,6777.2296078174695,4871.0,bons
984,5789.504098861841,7220.0,7622.691114248254,5769.0,bons
1044,4692.51519168939,6016.5,6625.635705936869,4648.5,bons
1039,6220.463250612318,7700.0,8407.30601375859,6182.0,bons
567,5249.219629382408,6438.0,6716.754448611775,5227.0,bons
805,5570.093056192819,7008.0,7454.715565364109,5555.5,bons
590,4868.389726357543,6059.0,5870.272328662351,4837.5,bons
684,4380.16416221618,5360.0,5414.83819888776,4352.5,bons
481,5251.908991599699,6205.0,6381.6026815851255,5218.5,bons
901,4362.283906207793,5320.0,5438.907997473931,4308.5,bons
821,4953.46616391565,6292.5,6503.910545801299,4891.5,bons
952,5175.647079676571,6427.5,5768.804564612799,5143.5,bons
602,4934.3252733731415,6120.0,6103.1419896870675,4893.5,bons
667,4570.44908065571,5748.0,6309.1316088244075,4531.0,bons
680,4763.40077354606,6106.0,6469.3528865884255,4753.0,bons
482,4260.268934650932,5184.0,5239.128272653306,4241.0,bons
504,4926.345824552452,5824.0,7210.770464801052,4902.5,bons
724,5538.648546776958,6988.0,7112.981927182232,5503.5,bons
486,4607.223152792541,5733.0,6758.379894128992,4576.5,bons
539,4128.825512173401,5312.0,6372.7486705121855,4090.0,bons
740,4832.214928966818,6156.0,5604.890510316583,4794.0,bons
417,3842.4091854797693,4466.0,5317.170775501353,3819.5,bons
614,4378.6409442416825,5400.0,5423.986839930638,4359.5,bons
713,4191.184708683189,5120.0,5438.907997473931,4179.5,bons
633,4231.523250673835,5208.0,5685.570779957976,4189.5,bons
779,4267.522771052849,5184.0,5488.024151507054,4225.5,bons
361,4487.038667907069,5490.0,6616.222350383912,4459.0,bons
687,4098.267794153744,4984.0,6272.049887817771,4077.5,bons
613,4461.970549199532,5670.0,6403.398301318048,4431.0,bons
568,4352.026164370849,5676.0,6155.1930587704055,4314.5,bons
538,3973.9309185743828,5100.0,5920.3582705666895,3957.5,bons
502,4418.060608990043,5346.0,5643.8977649752305,4391.0,bons
