convexHull,Elipse,Rec,Circle,Area,Classe
1117,4358.589533841052,5124.0,6121.045784953948,4308.5,bons
1118,4286.565758581487,5084.0,5722.012214562365,4246.5,bons
982,4045.084487400574,5211.5,6432.402325224086,4020.0,bons
1861,4109.288289140476,5419.0,6298.883369303867,4025.0,bons
614,3943.9900685472167,4680.0,5126.389345298607,3898.5,bons
652,4314.813853300429,5015.0,5978.67407290801,4274.0,bons
595,3761.6890759305866,4284.0,5821.028486578257,3704.0,bons
698,3803.300040267051,4543.0,4897.355583861591,3776.5,bons
624,4067.796584602381,5154.5,5811.973446114447,4045.5,bons
721,3957.0507666885073,4740.0,5318.796920139159,3931.0,bons
1050,4051.020964733975,5037.0,5234.863524951205,4031.0,bons
640,3293.9188564655315,3975.0,4836.51550089289,3240.5,bons
683,4586.940450098116,5670.0,6110.425093874962,4558.0,bons
597,3542.9484617412927,4543.0,5557.503848680377,3533.5,bons
850,4202.148884918486,5015.0,6118.476219094656,4176.0,bons
863,3939.9249900839704,4860.0,5656.464428765734,3918.0,bons
884,4073.5586100402456,5040.0,5633.687427402373,4054.0,bons
506,3535.176548880532,4352.0,4675.893056050561,3495.5,bons
689,4550.696052619057,5432.0,7668.3818449967375,4429.0,bons
637,4544.037054411041,5950.0,6128.19664910757,4518.5,bons
687,3826.7989873260267,4891.0,5982.475449373342,3778.5,bons
648,4009.311771519369,4851.0,5067.6226573492095,3974.5,bons
935,4462.204085028814,5665.5,6265.934105011988,4412.0,bons
1136,4042.9877957787116,5025.0,5065.839991566893,4007.5,bons
639,3445.9215120473123,4224.0,4515.2774839268295,3416.5,bons
711,3290.058877763068,4026.0,4193.015464554594,3271.5,bons
870,3215.3989710531787,3876.0,4006.5362543394353,3185.5,bons
878,3494.141590180146,4248.0,4326.830874229106,3456.0,bons
703,3784.2604514604623,4608.0,4516.676947506505,3769.5,bons
1145,3160.553190776616,4048.0,4213.684211681731,3123.0,bons
